sample,crystal_system,a,b,c,alpha,beta,gamma,cbm,vbm,band_gap
TiO2,Trigonal,6.021,6.021,14.784,90,90,120,2.754,1.0357,1.7183
HfO2,Orthorhombic,4.891,5.08,5.165,90,90,90,7.5048,3.7503,3.7545
HfO2,Orthorhombic,5.005,5.033,5.219,90,90,90,7.8453,3.4305,4.4148
WO2,Tetragonal,7.709,7.709,7.709,92.63,92.63,155.26,3.8404,1.512,2.3284
ZrO2,Monoclinic,5.804,9.08,6.15,46.83,57.34,34.67,4.1052,0.2802,3.825
SiO2,Trigonal,10.783,10.783,10.783,115.25,115.25,115.25,2.3752,-0.3981,2.7733
TiO2,Orthorhombic,3.017,9.596,11.048,90,90,90,3.1955,0.4308,2.7647
VO2,Monoclinic,10.765,5.244,5.878,87.15,90,90,1.6224,0.5487,1.0737
HfO2,Orthorhombic,10.094,5.141,5.259,90,90,90,7.1284,3.1119,4.0165
TiO2,Trigonal,7.192,7.192,7.192,24.03,24.03,24.03,0.7366,-1.8638,2.6004
TiO2,Orthorhombic,3.133,5.745,10.517,90,90,90,-1.1532,-3.9399,2.7867
MnO2,Trigonal,4.872,4.872,4.872,34.1,34.1,34.1,2.3109,0.7318,1.5791
TiO2,Hexagonal,5.947,5.947,9.068,90,90,120,4.1521,1.8356,2.3165
GeO2,Tetragonal,4.982,4.982,7.106,90,90,90,1.8487,-1.4292,3.2779
SiO2,Triclinic,8.323,8.325,10.427,89.72,89.65,60.03,7.2046,2.7311,4.4735
SnO2,Cubic,6.397,6.397,6.397,60,60,60,4.4497,2.555,1.8947
TiO2,Orthorhombic,4.545,4.909,5.52,90,90,90,5.5554,3.0273,2.5281
GeO2,Orthorhombic,4.312,4.777,5.33,90,90,90,5.0751,3.5523,1.5228
VO2,Orthorhombic,5.957,8.645,3.778,90,90,90.02,2.1054,0.7267,1.3787
NiO2,Trigonal,2.8,2.8,5.06,73.94,73.94,60,2.8671,1.267,1.6001
GeO2,Monoclinic,7.541,7.541,7.36,76.84,76.84,121.51,2.6433,-0.6021,3.2454
SiO2,Triclinic,4.815,4.859,5.949,90.68,93.4,104.98,6.9621,2.9543,4.0078
SiO2,Orthorhombic,4.864,4.864,4.864,121.83,107.36,100.04,4.911,0.1463,4.7647
PtO2,Hexagonal,3.131,3.131,8.583,90,90,120,3.697,2.1608,1.5362
K2O2,Hexagonal,7.015,7.015,5.053,90,90,120,2.9852,0.9018,2.0834
TiO2,Tetragonal,3.775,6.436,6.435,85.07,72.96,72.94,3.6226,1.6258,1.9968
VO2,Monoclinic,2.943,2.943,5.048,74.78,74.78,62.81,2.4469,1.3376,1.1093
ZrO2,Orthorhombic,3.287,5.048,20.084,90,90,90,4.9226,1.3055,3.6171
VO2,Triclinic,7.729,8.598,8.649,89.83,89.96,89.94,3.3578,2.3423,1.0155
TiO2,Triclinic,9.904,11.715,11.739,94.19,114.91,114.98,1.2092,-2.0991,3.3083
SiO2,Tetragonal,11.781,11.781,4.371,90,90,90,6.2005,1.2005,5
HfO2,Orthorhombic,5.038,5.202,9.972,90,90,90,7.6076,3.3804,4.2272
HfO2,Triclinic,10.914,11.237,10.85,87.6,89.41,90.52,5.9075,2.1973,3.7102
H3O2,Monoclinic,4.349,6.334,6.334,92.44,108.83,108.83,2.2337,-1.5965,3.8302
SiO2,Hexagonal,6.866,6.866,13.588,90,90,120,4.0066,0.4453,3.5613
SiO2,Tetragonal,11.772,11.772,4.375,90,90,90,6.1732,1.2044,4.9688
NiO2,Cubic,5.616,5.616,5.616,60,60,60,3.0002,1.5171,1.4831
SiO2,Triclinic,12.941,10.674,8.11,85.95,55.37,38.69,3.8874,-0.4734,4.3608
SO2,Orthorhombic,4.208,4.208,5.903,90,90,92.92,0.7746,-2.0622,2.8368
ZrO2,Orthorhombic,5.075,5.101,5.283,90,90,90,6.6682,2.9775,3.6907
TiO2,Monoclinic,4.708,7.241,2.968,78.18,90,91.92,4.4206,2.4914,1.9292
AlO2,Orthorhombic,3.005,4.157,10.613,90,90,90,4.0831,2.9859,1.0972
AsO2,Orthorhombic,5.264,7.295,8.615,90,90,90,3.8378,0.4619,3.3759
TiO2,Trigonal,5.895,5.895,5.895,61.43,61.43,61.43,3.8415,1.3954,2.4461
SiO2,Cubic,12.646,12.646,12.646,90,90,90,3.3011,1.3049,1.9962
SiO2,Monoclinic,5.659,4.946,5.389,71.38,90,90,6.5622,2.4484,4.1138
PtO2,Trigonal,3.135,3.135,4.167,90,90,120,3.7877,2.1778,1.6099
MoO2,Orthorhombic,6.232,6.241,6.391,118.27,117.96,91.42,3.2781,1.8509,1.4272
BeO2,Orthorhombic,3.714,6.305,4.821,90,90,90,4.1993,0.9623,3.237
ThO2,Cubic,3.96,3.96,3.96,60,60,60,8.9753,4.5566,4.4187
HfO2,Triclinic,10.761,11.384,11.054,88.61,86.84,88.66,5.8143,2.4263,3.388
NO2,Cubic,7.423,7.423,7.423,109.47,109.47,109.47,-0.2981,-3.0791,2.781
VO2,Triclinic,4.876,6.497,8.761,83.39,82.79,81.91,-0.4979,-1.7568,1.2589
TeO2,Tetragonal,4.826,4.826,7.654,90,90,90,6.9847,4.154,2.8307
CoO2,Monoclinic,2.91,14.078,2.911,85.15,60.78,84.71,-1.6526,-2.679,1.0264
GeO2,Orthorhombic,2.905,4.429,4.527,90,90,90,6.6088,5.2373,1.3715
SiO2,Trigonal,8.536,8.536,8.536,116.19,116.19,116.19,3.2814,-0.4136,3.695
MoO2,Triclinic,6.29,6.323,6.407,91.55,117.79,119.47,2.9991,1.9186,1.0805
SiO2,Cubic,8.793,8.793,8.793,90,90,90,3.33,-1.6389,4.9689
SiO2,Trigonal,9.599,9.599,9.599,117.33,117.33,117.33,2.2516,-0.2176,2.4692
TiO2,Orthorhombic,5.149,5.459,9.194,90,90,90,4.8517,2.5655,2.2862
Li2O2,Hexagonal,3.103,3.103,7.57,90,90,120,3.2861,1.3118,1.9743
ZrO2,Monoclinic,3.986,6.928,7.057,73.63,89.99,73.28,4.2081,0.3807,3.8274
MgO2,Cubic,4.829,4.829,4.829,90,90,90,7.0076,3.2736,3.734
CoO2,Orthorhombic,2.821,10.949,4.929,102.91,89.91,95.92,0.6425,-0.4835,1.126
SeO2,Orthorhombic,4.485,5.097,7.641,90,90,90,3.818,0.3986,3.4194
