band_gap,sample,crystal_size,ssa,a,c,base,primary_dopant,secondary_dopant,primary_conc,secondary_conc,base_conc,crystal_system,reference
3.25,1%Co ZnO,365.4,,3.24,5.196,Zn,Co,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000001
3.26,2%Co ZnO,320.5,,3.248,5.204,Zn,Co,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000002
3.27,3%Co ZnO,318,,3.258,5.218,Zn,Co,,3,0,97,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000003
3.28,4%Co ZnO,302,,3.246,5.202,Zn,Co,,4,0,96,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000004
2.1,CdS-doped ZnO,368.1,,3.31,5.36,Zn,CdS,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0030402620306446
2.64,10% Cu-doped ZnO at 700 C,150,,3.246,5.199,Zn,Cu,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000001
2.87,Zn0.85Ni0.15O,140,,3.227,5.178,Zn,Ni,,15,0,85,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000002
2.94,Zn0.9 Ni0.0 O,130,,3.231,5.184,Zn,Ni,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000003
2.97,2 wt% Ag-doped ZnO,382,,3.251,5.208,Zn,Ag,,2,0,98,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000004
2.98,1 wt% Ag-doped ZnO,357,,3.25,5.205,Zn,Ag,,1,0,99,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000005
3.02,ZnO/glass,320,,3.258,5.208,Zn,,,0,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000006
3.03,Zn0.9 Ni0.0 O,110,,3.227,5.178,Zn,Ni,,10,0,90,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000007
3.08,Al-doped ZnO D,150.1,,3.326,5.292,Zn,Al,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000008
3.11,0.5 wt% Ag-doped ZnO,260,,3.249,5.202,Zn,Ag,,5,0,95,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000009
3.11,Al-doped ZnO B,208.3,,3.359,5.322,Zn,Al,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000010
3.12,Al-doped ZnO C,179.3,,3.339,5.302,Zn,Al,,,0,100,wurtzite,https://www.sciencedirect.com/science/article/pii/S0000000000000011
