sample,crystal_system,alpha,beta,gamma,a,b,c,band_gap
MgO,Orthorhombic,4.438313058322243,3.8753210112437033,-2.4456763740074248,0.0982862337345614,0.283937611740423,0.3544227923967817,3.1951
BeO,Triclinic,0.16895580277338537,0.18820621559413003,-0.04466844979978912,1.256363874495991,1.4703951950429002,-0.10027865904372933,4.2425
MgO,Triclinic,0.6316447664289269,-0.09586598435149346,-0.07656478148448807,0.033662458507547,0.21773016115074253,0.11082483445441747,2.075
MgO,Triclinic,0.12625585709167556,0.18108823336314633,-0.1685556511258669,-0.1791033279893683,-0.0002496805899244512,-0.023795089671625864,1.9477
BaO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,0.5103380461659938,0.03251293505792609,-0.673463327777441,2.3602
SrO,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,0.18640804772032227,-0.2440439421809872,0.2791568894156947,3.2748
Rb2O,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-1.229561276247903,-1.4529349259792188,-0.668575152261885,1.3192
Na2O,Trigonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,-0.912501812787849,-1.1822438027911821,-0.456361930158962,1.5089
MgO,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,1.3826276296125004,0.7772345860428314,1.0798067392755886,2.8821
FeO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,-1.4939724893179114,-1.6786773386747775,0.19968724742431784,1.161
CaO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,0.01525049684208225,-0.3901705683467491,-1.0866072328539187,3.12
MgO,Monoclinic,-0.2217168345831525,-0.20975370004723257,-3.489010006070697,1.1471311699313111,1.358485625154139,-0.4694334591923211,2.7412
BaO,Hexagonal,0.05551415603690277,0.07173014272348734,1.3421285799697347,0.145978726006311,-0.27856068041382975,-0.6840737651469814,2.1422
K2O,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-0.5810685412847982,-0.8992809681671033,-0.2345280770065651,1.7072
MgO,Triclinic,0.44682410601555606,-0.036333769328720324,-0.0123098524385001,0.24676251961011436,0.43605246925706703,0.1048564634340512,2.2025
FeO,Monoclinic,1.3658289071054877,0.1429099650333243,-0.0469797781827382,-0.39972456771908477,-0.2262774819235305,-0.940934769801271,1.8157
ZrO2,Tetragonal,3.107604303345974,-4.554311218122212,1.7914508176150605,0.026196619281968928,-0.38082526085940455,0.12475103350193933,3.1299
ZrO2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.2512002472129903,0.4405989481646478,-0.9166191841627409,3.3334
HfO2,Monoclinic,0.05551415603690277,0.6903475075253463,-0.04466844979978912,1.0064826955652262,1.2143904081168357,-0.9780713005946623,4.0165
BaO2,Orthorhombic,0.05551415603690277,0.07173014272348734,1.70546940176935,0.39986028899831044,0.5929020647279623,-1.3344051555883927,2.2941
ZrO2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.5231948048101943,0.7192590259691252,0.08673029959441958,3.5794
WO2,Triclinic,0.027472400663839814,0.035493142274842744,-0.9678130059497021,-1.1909525592952026,-1.0368953694335992,2.346974510085049,1.3423
C3O2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.8530158476201376,1.0571626894206516,0.6674306947982225,3.8777
CoO2,Monoclinic,0.22886318925220184,-0.013038554754591787,1.3439776426760943,-1.3378662484788544,-1.1874093371398415,2.1482498601846993,1.2544
PO2,Monoclinic,0.22695125138585656,0.39721605746756167,0.1878511855249011,1.5613073663061903,1.7828116562562129,-0.6036112817613003,4.5183
TiO2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.048537678459020295,0.2329699144224777,1.1484371888840523,2.0839
SbO2,Orthorhombic,2.2905695217944544,1.770339538753696,-0.0890459547524136,-0.878572940314264,-0.7168605507271526,-0.6509161483671676,1.5292
SiO2,Cubic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,1.5725851894260745,0.9394118150801014,1.2069485233148658,4.5285
WO2,Orthorhombic,0.05551415603690277,0.07173014272348734,1.4919026591848432,-0.6719912340218932,-0.5052163367511396,0.225992290069637,1.6528
TiO2,Tetragonal,0.20400799698971406,0.22250194816159719,3.040492675760812,0.7486758399952187,0.23599503398578206,-0.5174014781337847,2.5028
SbO2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,-0.2760429636281832,-0.09956492663044858,0.46804289256227627,1.8897
VO2,Monoclinic,0.20910649796663452,1.475266820814734,0.010803431390991965,-1.6530872016078273,-1.510355119954372,-1.0342181983418133,1.0658
SiO2,Monoclinic,-1.8857400909256017,0.07173014272348734,-0.04466844979978912,0.5481829227032701,0.7448595046617308,-0.31801367589783874,3.602
BiO2,Monoclinic,1.129385924300796,1.5425641073622167,-0.04466844979978912,-1.4963124115574689,-1.3497383944612495,-0.6582108240587268,1.1596
WO2,Orthorhombic,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.7114042214651218,0.9120807175202669,0.3320966637650403,2.4805
CeO2,Cubic,-1.8564237103083086,-1.869537738453894,-1.431465479569313,-0.31782728933456916,-0.6745374157047113,-0.058336287437717585,1.8647
SbO2,Triclinic,-0.10190206162551955,-0.11463157386954097,-1.1897005307128259,-0.3124788956441516,-0.1368937604870595,1.3250567609311927,1.8679
SiO2,Trigonal,-0.07131105576399592,-0.057040626727945284,-0.1366593194411673,1.198205688603256,0.6197834196038275,0.9563700378412603,4.1899
ZrO2,Tetragonal,-1.1783230803778735,0.07108305342976122,0.8502779000781436,0.41561321759796627,-0.048358867218696804,-1.2568163323236288,3.4821
NiO2,Trigonal,-0.6640117943310121,-0.6588336698929342,-1.431465479569313,-0.4022316272614678,-0.7465980468117003,-0.11482952790264948,1.8142
SeO2,Tetragonal,0.05551415603690277,0.07173014272348734,-0.04466844979978912,0.20033947628017906,-0.2321499144698205,-0.2936980902593089,3.2874
